,id,model,participant,prompt,target,predicted,src,total_tokens,nexamples,ncompletions
0,hmsl_brick-d3f2,gpt-4,hmslw07hiE91,brick,2.7,2.0,hmsl,64.6,20,20
1,bs12_brick-71f7,gpt-4,bs1286,brick,1.8,3.5,bs12,61.5,20,20
2,dod20_shovel-7e69,gpt-4,dod2065,shovel,3.3,3.0,dod20,48.9,20,20
3,snbmo09_2_knife-a518,gpt-4,snbmo09143,knife,2.3,3.5,snbmo09,53.5,20,20
4,betal18_rope-54d8,gpt-4,betal182133,rope,1.2,1.3,betal18,51.4,20,20
5,bs12_brick-dbb9,gpt-4,bs1288,brick,1.4,2.8,bs12,60.5,20,20
6,motesp_g1_hat-42e3,gpt-4,motesp1RG,hat,3.2,3.5,motesp,60.1,20,20
7,dod20_table-85dd,gpt-4,dod2086,table,3.7,3.8,dod20,52.5,20,20
8,dod20_book-b381,gpt-4,dod2032,book,4.0,3.4,dod20,46.3,20,20
9,betal18_box-75dd,gpt-4,betal182177,box,1.6,2.0,betal18,58.6,20,20
10,betal18_rope-7747,gpt-4,betal182113,rope,1.3,2.1,betal18,51.3,20,20
11,dod20_book-0328,gpt-4,dod2043,book,2.7,3.0,dod20,47.0,20,20
12,motesf_pencil-4ba4,gpt-4,motesf2665,pencil,1.3,1.0,motesf,65.9,20,20
13,motesp_g1_shoe-1964,gpt-4,motesp28JB,shoe,1.9,2.2,motesp,51.1,20,20
14,betal18_rope-f455,gpt-4,betal182020,rope,2.1,3.1,betal18,53.9,20,20
15,hmsl_brick-7be1,gpt-4,hmslrcjJj04f,brick,1.5,2.0,hmsl,59.6,20,20
16,snb17_box-3507,gpt-4,snb17110,box,1.7000000000000002,1.5,snb17,54.3,20,20
17,betal18_box-f387,gpt-4,betal182079,box,1.0,1.0,betal18,58.4,20,20
18,snbmo09_3_box-467d,gpt-4,snbmo0941,box,3.2,3.5,snbmo09,55.8,20,20
19,dod20_fork-ded8,gpt-4,dod202,fork,2.5,2.5,dod20,50.9,20,20
20,snbmo09_1_brick-4b48,gpt-4,snbmo09140,brick,2.7,4.0,snbmo09,60.4,20,20
21,betal18_rope-f6cd,gpt-4,betal182128,rope,1.3,1.3,betal18,51.4,20,20
22,hmsl_brick-4002,gpt-4,hmsl8etU6423,brick,4.3,4.5,hmsl,59.9,20,20
23,betal18_rope-f2a6,gpt-4,betal182191,rope,2.4,3.0,betal18,54.3,20,20
24,betal18_box-8507,gpt-4,betal182089,box,1.3,2.0,betal18,56.5,20,20
25,dod20_rope-9228,gpt-4,dod2033,rope,4.0,2.6,dod20,52.4,20,20
26,dod20_book-9b90,gpt-4,dod2046,book,3.3,3.8,dod20,46.5,20,20
27,bs12_brick-118e,gpt-4,bs1236,brick,1.4,2.2,bs12,58.9,20,20
28,betal18_rope-e925,gpt-4,betal182085,rope,1.6,1.8,betal18,52.6,20,20
29,snbmo09_2_knife-c031,gpt-4,snbmo0989,knife,1.5,1.8,snbmo09,52.0,20,20
30,betal18_box-b4c5,gpt-4,betal182104,box,2.7,2.7,betal18,51.7,20,20
31,dod20_table-5968,gpt-4,dod2070,table,3.0,3.0,dod20,51.2,20,20
32,motesf_sock-0eee,gpt-4,motesfe00d,sock,2.7,2.7,motesf,68.1,20,20
33,motesf_sock-112b,gpt-4,motesfb6d7,sock,2.7,2.7,motesf,72.5,20,20
34,betal18_rope-28a8,gpt-4,betal182187,rope,2.4,3.8,betal18,52.3,20,20
35,motesf_sock-6c9d,gpt-4,motesf502e,sock,4.1,3.5,motesf,70.1,20,20
36,motesf_lightbulb-bc36,gpt-4,motesf3ef8,lightbulb,3.0,2.7,motesf,78.4,20,20
37,dod20_rope-719d,gpt-4,dod2056,rope,2.5,1.5,dod20,54.4,20,20
38,hmsl_paperclip-bffa,gpt-4,hmslH6CjN8B9,paperclip,2.5,2.5,hmsl,56.7,20,20
39,setal08_1.0-cf2c,gpt-4,setal0861,brick,1.7000000000000002,2.0,setal08,61.4,20,20
40,bs12_brick-7804,gpt-4,bs125,brick,1.4,2.1,bs12,59.5,20,20
41,snbmo09_1_brick-91bb,gpt-4,snbmo09156,brick,2.5,1.6,snbmo09,61.9,20,20
42,setal08_1.0-17a6,gpt-4,setal0829,brick,2.0,4.0,setal08,61.4,20,20
43,setal08_4.0-c99d,gpt-4,setal08215,knife,1.0,1.2,setal08,51.8,20,20
44,hmsl_brick-0653,gpt-4,hmsl8tmPV3b2,brick,1.3,1.2,hmsl,59.0,20,20
45,dod20_book-fc45,gpt-4,dod2034,book,3.0,3.1,dod20,46.2,20,20
46,hmsl_paperclip-b130,gpt-4,hmsl7tAp1G0i,paperclip,2.5,2.7,hmsl,54.8,20,20
47,dod20_bottle-1797,gpt-4,dod2080,bottle,1.0,2.0,dod20,64.0,20,20
48,motesf_bottle-a821,gpt-4,motesfc0e1,bottle,3.0,2.7,motesf,59.5,20,20
49,motesf_ball-877d,gpt-4,motesf3cec,ball,3.0,1.9,motesf,75.9,20,20
50,snbmo09_1_brick-e0a9,gpt-4,snbmo09146,brick,1.3,1.0,snbmo09,59.8,20,20
51,bs12_brick-a6d0,gpt-4,bs1256,brick,1.8,1.4,bs12,57.7,20,20
52,snbmo09_1_brick-72c7,gpt-4,snbmo0963,brick,1.0,1.8,snbmo09,59.6,20,20
53,motesp_g1_ball-e2bf,gpt-4,motesp27CA,ball,2.8,2.9,motesp,71.7,20,20
54,motesf_spoon-05e7,gpt-4,motesf8bf1,spoon,2.7,2.9,motesf,67.2,20,20
55,dod20_bottle-ca11,gpt-4,dod2065,bottle,3.2,3.3,dod20,62.2,20,20
56,dod20_bottle-933d,gpt-4,dod2078,bottle,3.2,3.3,dod20,59.8,20,20
57,betal18_box-9d83,gpt-4,betal182117,box,1.9,2.1,betal18,54.4,20,20
58,bs12_brick-96d6,gpt-4,bs1289,brick,1.8,2.0,bs12,62.7,20,20
59,motesf_spoon-4295,gpt-4,motesf1c9a,spoon,2.4,2.6,motesf,65.2,20,20
60,snb17_rope-9d24,gpt-4,snb1768,rope,1.7000000000000002,2.0,snb17,54.6,20,20
61,setal08_4.0-5e59,gpt-4,setal08114,knife,1.7000000000000002,2.0,setal08,55.2,20,20
62,hmsl_paperclip-7143,gpt-4,hmslEqZE362k,paperclip,4.0,3.5,hmsl,55.5,20,20
63,snb17_rope-2a18,gpt-4,snb1743,rope,1.3,1.0,snb17,50.1,20,20
64,dod20_rope-af40,gpt-4,dod2084,rope,2.0,2.0,dod20,52.8,20,20
65,hmsl_brick-2930,gpt-4,hmslC8q1Ph4i,brick,4.0,2.8,hmsl,61.9,20,20
66,dod20_book-2da9,gpt-4,dod2042,book,4.5,4.1,dod20,47.0,20,20
67,hmsl_paperclip-85d5,gpt-4,hmslbCCPp06L,paperclip,1.8,2.0,hmsl,55.0,20,20
