,id,model,participant,prompt,target,predicted,src,total_tokens,nexamples,ncompletions
0,motesf_ball-62be,gpt3-davinci,motesfbcbe,ball,3.9,3.5,motesf,29.4,0,10
1,hmsl_brick-e34c,gpt3-davinci,hmslzvXd0H7K,brick,1.7000000000000002,2.5,hmsl,20.3,0,10
2,snbmo09_2_knife-834c,gpt3-davinci,snbmo09118,knife,2.0,4.0,snbmo09,19.8,0,10
3,betal18_box-20b9,gpt3-davinci,betal182044,box,3.0,3.0,betal18,16.0,0,10
4,motesf_spoon-6689,gpt3-davinci,motesfedde,spoon,3.0,4.5,motesf,20.1,0,10
5,motesf_lightbulb-2dc4,gpt3-davinci,motesfa8c8,lightbulb,3.9,5.0,motesf,25.8,0,10
6,bs12_brick-607b,gpt3-davinci,bs1242,brick,1.4,0.5,bs12,19.6,0,10
7,snb17_rope-1181,gpt3-davinci,snb1798,rope,1.3,,snb17,,0,10
8,dod20_shovel-9ba0,gpt3-davinci,dod2047,shovel,2.0,1.5,dod20,15.5,0,10
9,hmsl_brick-60c4,gpt3-davinci,hmslz793il3x,brick,1.8,4.5,hmsl,18.3,0,10
10,motesf_pencil-75b2,gpt3-davinci,motesf6855,pencil,3.0,4.0,motesf,19.5,0,10
11,betal18_rope-f572,gpt3-davinci,betal182072,rope,2.4,2.5,betal18,15.3,0,10
12,snb17_box-d576,gpt3-davinci,snb1753,box,2.3,4.5,snb17,19.0,0,10
13,hmsl_paperclip-e599,gpt3-davinci,hmslX5hX4YgF,paperclip,1.0,0.5,hmsl,18.0,0,10
14,hmsl_brick-0235,gpt3-davinci,hmsl0x135kJT,brick,1.7000000000000002,1.5,hmsl,16.7,0,10
15,snbmo09_3_box-3d51,gpt3-davinci,snbmo09107,box,1.8,4.0,snbmo09,16.3,0,10
16,betal18_box-eaa5,gpt3-davinci,betal182158,box,1.3,3.5,betal18,16.5,0,10
17,setal08_1.0-7d76,gpt3-davinci,setal08111,brick,2.0,2.5,setal08,19.3,0,10
18,setal08_4.0-903b,gpt3-davinci,setal0887,knife,2.0,5.0,setal08,21.6,0,10
19,setal08_4.0-903b,gpt3-davinci,setal0887,knife,2.0,5.0,setal08,21.6,0,10
20,setal08_1.0-135b,gpt3-davinci,setal08153,brick,2.3,2.5,setal08,17.9,0,10
21,snbmo09_3_box-c3ad,gpt3-davinci,snbmo09108,box,1.5,1.5,snbmo09,25.4,0,10
22,motesf_hat-39f8,gpt3-davinci,motesf6faa,hat,4.4,2.5,motesf,23.5,0,10
23,snb17_rope-1a01,gpt3-davinci,snb1725,rope,2.3,2.0,snb17,15.7,0,10
24,dod20_table-3a26,gpt3-davinci,dod2016,table,4.0,4.5,dod20,16.7,0,10
25,dod20_tire-8792,gpt3-davinci,dod2013,tire,1.2,1.0,dod20,17.0,0,10
26,dod20_book-2849,gpt3-davinci,dod2055,book,2.5,1.0,dod20,13.9,0,10
27,hmsl_brick-f6b3,gpt3-davinci,hmsleKeAvV0P,brick,1.2,1.5,hmsl,16.3,0,10
28,motesf_pencil-1274,gpt3-davinci,motesf43ec,pencil,4.1,4.0,motesf,19.9,0,10
29,dod20_book-96e1,gpt3-davinci,dod2038,book,1.2,4.5,dod20,19.6,0,10
30,dod20_table-3ccd,gpt3-davinci,dod2037,table,2.0,2.5,dod20,14.9,0,10
31,setal08_4.0-ec93,gpt3-davinci,setal08205,knife,1.7000000000000002,1.0,setal08,19.5,0,10
32,hmsl_paperclip-89c3,gpt3-davinci,hmslH6CjN8B9,paperclip,3.3,1.5,hmsl,18.2,0,10
33,setal08_1.0-fd83,gpt3-davinci,setal08174,brick,1.7000000000000002,3.5,setal08,16.7,0,10
34,setal08_4.0-acde,gpt3-davinci,setal08116,knife,2.3,2.0,setal08,15.9,0,10
35,bs12_brick-a82d,gpt3-davinci,bs1238,brick,1.8,3.0,bs12,19.3,0,10
36,bs12_brick-a1de,gpt3-davinci,bs1259,brick,1.4,1.0,bs12,23.1,0,10
37,setal08_1.0-acff,gpt3-davinci,setal08149,brick,2.7,5.0,setal08,18.6,0,10
38,snbmo09_1_brick-f77c,gpt3-davinci,snbmo09163,brick,3.5,2.5,snbmo09,18.2,0,10
39,snb17_rope-ecfb,gpt3-davinci,snb1745,rope,2.7,1.5,snb17,15.4,0,10
40,dod20_bottle-7bd1,gpt3-davinci,dod2082,bottle,1.8,0.5,dod20,21.9,0,10
41,motesp_g1_shoe-3601,gpt3-davinci,motesp20HL,shoe,3.7,3.5,motesp,15.4,0,10
42,dod20_brick-4a89,gpt3-davinci,dod2037,brick,1.8,4.0,dod20,18.4,0,10
43,hmsl_paperclip-862c,gpt3-davinci,hmsl5GS33saU,paperclip,2.5,4.0,hmsl,17.0,0,10
44,hmsl_paperclip-60e3,gpt3-davinci,hmslb3AN0bjD,paperclip,1.0,,hmsl,,0,10
45,setal08_4.0-af33,gpt3-davinci,setal08144,knife,2.0,2.5,setal08,20.0,0,10
46,hmsl_brick-6417,gpt3-davinci,hmsl3dysp210,brick,1.7000000000000002,4.5,hmsl,17.8,0,10
47,dod20_shoe-0624,gpt3-davinci,dod2041,shoe,3.5,3.0,dod20,14.0,0,10
48,dod20_fork-1fa0,gpt3-davinci,dod2039,fork,1.5,1.5,dod20,17.6,0,10
49,hmsl_paperclip-1de4,gpt3-davinci,hmsl5fii6yAD,paperclip,2.2,4.5,hmsl,19.9,0,10
50,setal08_1.0-49d8,gpt3-davinci,setal08109,brick,1.8,3.5,setal08,16.7,0,10
51,motesf_hat-4bfc,gpt3-davinci,motesf950a,hat,2.7,2.0,motesf,24.4,0,10
52,setal08_1.0-af02,gpt3-davinci,setal0897,brick,1.7000000000000002,4.0,setal08,18.1,0,10
53,hmsl_brick-1465,gpt3-davinci,hmslMr20YMh5,brick,2.8,3.0,hmsl,17.9,0,10
