,id,model,participant,prompt,target,predicted,src,total_tokens,nexamples,ncompletions
0,motesf_ball-62be,gpt3-davinci,motesfbcbe,ball,3.9,4.8,motesf,21.9,5,5
1,hmsl_brick-e34c,gpt3-davinci,hmslzvXd0H7K,brick,1.7000000000000002,2.8,hmsl,16.5,5,5
2,snbmo09_2_knife-834c,gpt3-davinci,snbmo09118,knife,2.0,5.0,snbmo09,19.3,5,5
3,betal18_box-20b9,gpt3-davinci,betal182044,box,3.0,5.0,betal18,16.5,5,5
4,motesf_spoon-6689,gpt3-davinci,motesfedde,spoon,3.0,1.0,motesf,18.8,5,5
5,motesf_lightbulb-2dc4,gpt3-davinci,motesfa8c8,lightbulb,3.9,3.0,motesf,24.1,5,5
6,bs12_brick-607b,gpt3-davinci,bs1242,brick,1.4,1.3,bs12,18.9,5,5
7,snb17_rope-1181,gpt3-davinci,snb1798,rope,1.3,1.4,snb17,20.8,5,5
8,dod20_shovel-9ba0,gpt3-davinci,dod2047,shovel,2.0,4.0,dod20,16.1,5,5
9,hmsl_brick-60c4,gpt3-davinci,hmslz793il3x,brick,1.8,1.2,hmsl,17.6,5,5
10,motesf_pencil-75b2,gpt3-davinci,motesf6855,pencil,3.0,4.2,motesf,22.2,5,5
11,betal18_rope-f572,gpt3-davinci,betal182072,rope,2.4,1.7,betal18,16.4,5,5
12,snb17_box-d576,gpt3-davinci,snb1753,box,2.3,5.0,snb17,18.1,5,5
13,hmsl_paperclip-e599,gpt3-davinci,hmslX5hX4YgF,paperclip,1.0,1.0,hmsl,18.8,5,5
14,hmsl_brick-0235,gpt3-davinci,hmsl0x135kJT,brick,1.7000000000000002,1.2,hmsl,16.1,5,5
15,snbmo09_3_box-3d51,gpt3-davinci,snbmo09107,box,1.8,2.7,snbmo09,17.5,5,5
16,betal18_box-eaa5,gpt3-davinci,betal182158,box,1.3,2.7,betal18,18.8,5,5
17,setal08_1.0-7d76,gpt3-davinci,setal08111,brick,2.0,2.0,setal08,16.6,5,5
18,setal08_4.0-903b,gpt3-davinci,setal0887,knife,2.0,1.0,setal08,17.3,5,5
19,setal08_1.0-135b,gpt3-davinci,setal08153,brick,2.3,3.2,setal08,21.9,5,5
20,snbmo09_3_box-c3ad,gpt3-davinci,snbmo09108,box,1.5,4.0,snbmo09,16.4,5,5
21,motesf_hat-39f8,gpt3-davinci,motesf6faa,hat,4.4,4.2,motesf,22.4,5,5
22,snb17_rope-1a01,gpt3-davinci,snb1725,rope,2.3,1.4,snb17,16.8,5,5
23,dod20_table-3a26,gpt3-davinci,dod2016,table,4.0,4.5,dod20,16.8,5,5
24,dod20_tire-8792,gpt3-davinci,dod2013,tire,1.2,0.9,dod20,16.6,5,5
25,dod20_book-2849,gpt3-davinci,dod2055,book,2.5,1.2,dod20,15.3,5,5
26,hmsl_brick-f6b3,gpt3-davinci,hmsleKeAvV0P,brick,1.2,1.8,hmsl,17.2,5,5
27,motesf_pencil-1274,gpt3-davinci,motesf43ec,pencil,4.1,3.2,motesf,19.9,5,5
28,dod20_book-96e1,gpt3-davinci,dod2038,book,1.2,1.0,dod20,17.5,5,5
29,dod20_table-3ccd,gpt3-davinci,dod2037,table,2.0,1.0,dod20,15.4,5,5
30,setal08_4.0-ec93,gpt3-davinci,setal08205,knife,1.7000000000000002,1.0,setal08,17.5,5,5
31,hmsl_paperclip-89c3,gpt3-davinci,hmslH6CjN8B9,paperclip,3.3,4.0,hmsl,17.8,5,5
32,setal08_1.0-fd83,gpt3-davinci,setal08174,brick,1.7000000000000002,1.9,setal08,17.7,5,5
33,setal08_4.0-acde,gpt3-davinci,setal08116,knife,2.3,2.7,setal08,16.4,5,5
34,bs12_brick-a82d,gpt3-davinci,bs1238,brick,1.8,5.0,bs12,16.9,5,5
35,bs12_brick-a1de,gpt3-davinci,bs1259,brick,1.4,1.0,bs12,16.7,5,5
36,setal08_1.0-acff,gpt3-davinci,setal08149,brick,2.7,1.9,setal08,20.3,5,5
37,snbmo09_1_brick-f77c,gpt3-davinci,snbmo09163,brick,3.5,1.3,snbmo09,16.6,5,5
38,snb17_rope-ecfb,gpt3-davinci,snb1745,rope,2.7,2.0,snb17,15.2,5,5
39,dod20_bottle-7bd1,gpt3-davinci,dod2082,bottle,1.8,2.8,dod20,18.6,5,5
40,motesp_g1_shoe-3601,gpt3-davinci,motesp20HL,shoe,3.7,4.0,motesp,16.4,5,5
41,dod20_brick-4a89,gpt3-davinci,dod2037,brick,1.8,1.3,dod20,17.1,5,5
42,hmsl_paperclip-862c,gpt3-davinci,hmsl5GS33saU,paperclip,2.5,3.5,hmsl,16.8,5,5
43,hmsl_paperclip-60e3,gpt3-davinci,hmslb3AN0bjD,paperclip,1.0,,hmsl,,5,5
44,setal08_4.0-af33,gpt3-davinci,setal08144,knife,2.0,1.0,setal08,19.2,5,5
45,hmsl_brick-6417,gpt3-davinci,hmsl3dysp210,brick,1.7000000000000002,1.9,hmsl,17.8,5,5
46,dod20_shoe-0624,gpt3-davinci,dod2041,shoe,3.5,4.0,dod20,16.7,5,5
47,dod20_fork-1fa0,gpt3-davinci,dod2039,fork,1.5,1.3,dod20,17.2,5,5
